Company,Date,high_mean,low_mean,adj_close_mean,volume_mean
NKE,2022-01-26,148.970001,142.729996,140.140793,7444600.0
NKE,2022-01-27,147.350006,143.580002,140.773422,6396400.0
NKE,2022-01-28,146.029999,140.610001,142.009476,6130200.0
NKE,2022-01-31,148.179993,145.220001,144.11174,6932200.0
NKE,2022-02-01,149.679993,146.800003,144.257706,6695000.0
NKE,2022-02-02,149.460007,147.529999,144.73465,5491700.0
NKE,2022-02-03,148.460007,144.970001,141.425507,5240200.0
NKE,2022-02-04,146.479996,143.639999,141.503357,4313400.0
NKE,2022-02-07,146.119995,144.220001,141.260071,3877500.0
NKE,2022-02-08,145.5,142.300003,139.69313,5829400.0
NKE,2022-02-09,147.360001,145.669998,142.350113,4551000.0
NKE,2022-02-10,147.539993,143.850006,140.948624,5142600.0
NKE,2022-02-11,145.059998,139.559998,136.432648,6710500.0
NKE,2022-02-14,143.210007,139.789993,137.804947,6841200.0
NKE,2022-02-15,146.320007,144.100006,141.688324,7820200.0
NKE,2022-02-16,146.949997,144.610001,142.573944,4817500.0
NKE,2022-02-17,146.910004,142.639999,138.98262,5202300.0
NKE,2022-02-18,143.940002,141.809998,139.128586,5177400.0
NKE,2022-02-22,141.639999,136.160004,134.49585,9604500.0
NKE,2022-02-23,140.970001,136.509995,133.172226,7636600.0
NKE,2022-02-24,137.419998,130.929993,133.503098,8417200.0
NKE,2022-02-25,139.220001,136.190002,135.089539,5424500.0
NKE,2022-02-28,138.380005,135.039993,132.899673,6613300.0
NKE,2022-03-01,136.75,131.149994,128.685455,6534000.0
NKE,2022-03-02,136.610001,132.770004,132.052948,7743900.0
NKE,2022-03-03,136.800003,133.449997,130.388672,4576500.0
NKE,2022-03-04,133.619995,130.699997,127.964569,7084500.0
NKE,2022-03-07,131.029999,124.169998,121.389786,11383400.0
NKE,2022-03-08,125.470001,120.800003,118.238945,9089400.0
NKE,2022-03-09,129.649994,126.629997,123.838249,8845100.0
NKE,2022-03-10,126.599998,124.0,122.940796,7167400.0
NKE,2022-03-11,127.870003,122.510002,119.624161,5882000.0
NKE,2022-03-14,122.449997,116.75,114.688179,13884900.0
NKE,2022-03-15,120.419998,117.75,116.473328,10431300.0
NKE,2022-03-16,126.110001,121.93,122.121399,11100400.0
NKE,2022-03-17,127.410004,123.699997,124.286987,6845300.0
NKE,2022-03-18,131.460007,126.699997,128.023102,10350900.0
NKE,2022-03-21,132.309998,128.619995,126.998825,14388500.0
NKE,2022-03-22,139.0,132.990005,129.827744,19731200.0
NKE,2022-03-23,135.399994,131.199997,129.73996,8068800.0
NKE,2022-03-24,134.190002,131.199997,128.842514,5853800.0
NKE,2022-03-25,133.869995,131.710007,130.422806,6287000.0
NKE,2022-03-28,134.860001,132.169998,131.505585,5804100.0
NKE,2022-03-29,139.75,136.949997,135.729477,7275900.0
NKE,2022-03-30,139.860001,137.559998,135.144165,5545800.0
NKE,2022-03-31,138.710007,134.5,131.261703,7206500.0
NKE,2022-04-01,135.279999,132.75,130.247238,5807500.0
NKE,2022-04-04,135.210007,132.860001,131.047104,5307300.0
NKE,2022-04-05,134.679993,132.020004,129.057114,5707800.0
NKE,2022-04-06,130.300003,126.330002,125.213707,6961000.0
NKE,2022-04-07,129.979996,127.089996,126.208694,5320500.0
